2018;2018;2018;2018;2013;2013;2013;2013;2008;2008;2008;2008;2006;2006;2006;2006;2001;2001;2001;2001;1996;1996;1996;1996;1994;1994;1994;1994;1992;1992;1992;1992;1987;1987;1987;1987;1983;1983;1983;1983;1979;1979;1979;1979;1976;1976;1976;1976;1972;1972;1972;1972;1968;1968;1968;1968;1963;1963;1963;1963;1958;1958;1958;1958;1953;1953;1953;1953;1948;1948;1948;1948
Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti
ITALIA;CANDIDATI UNINOMINALI ;AUTODETERMINATZIONE;20468;ITALIA;MARIO MONTI ;CON MONTI PER L'ITALIA;2797734;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);CARLO COVI ;L'INTESA VENETA;4600;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LEGA NORD;1530667;ITALIA;;FILOGRANA SALENTO;21857;ITALIA;;POUR VALLEE D'AOSTE;29538;;;;;ITALIA;;LA LEGA CAS-PENS.;134327;ITALIA;;PIEMONT;51340;ITALIA;;UV-UVP-D.POP.;26547;ITALIA;;PART.POP.CALAB.;4009;ITALIA;;P.DEM.;3074;;;;;;;;;ITALIA;;CONTADINI COMBATTENTI;3797;ITALIA;;TRE CIME DI LAVAREDO;9928;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;GRANDE NORD;17507;ITALIA;ANTONIO INGROIA ;RIVOLUZIONE CIVILE;551064;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;180442;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALTERNATIVA SOCIALE MUSSOLINI;214526;ITALIA;;NOI SICILIANI;20761;ITALIA;;PIEMONTE NAZ.EUROPA;26951;;;;;ITALIA;;LEGA ALPINA LUMBARDA;119153;ITALIA;;ALL.DEM.MOL.;49297;ITALIA;;MOV.FRIULI;23847;ITALIA;;P.DEM.;3748;ITALIA;;GR.MARGH.;1892;;;;;;;;;;;;;ITALIA;;TOTA SABINA CIVITAS;6449;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;LISTA DEL POPOLO PER LA COSTITUZIONE;10356;ITALIA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;278470;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);EVA ROSSI ;LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;45623;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;FIAMMA TRICOLORE;204498;ITALIA;;LEGA D'AZIONE MERIDIONALE;19914;ITALIA;;AMBIENTALISTI;26756;;;;;ITALIA;;CPA;116395;ITALIA;;CPA;41135;ITALIA;;PPTT;17354;ITALIA;;FIORE MARGHERITA;2056;ITALIA;;GR.AVE;521;;;;;;;;;;;;;ITALIA;;PART.NAZ.MONARCHICO;4729;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;DESTRE UNITE - FORCONI;6229;ITALIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;113967;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO VIDO ;LG.VENETA REPUBBLICA;47647;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DEM.CRIST.-NUOVO PSI;190717;ITALIA;;LIBDEM.BASTA;19913;ITALIA;;GR.INDIP.LIBERTA';23301;;;;;ITALIA;;LISTE AUTONOMISTE;95687;ITALIA;;UV-ADP-PRI;35830;ITALIA;;PART.CRIST.AZ.SOC.;12588;ITALIA;;PART.BEN.CIV.;1072;;;;;;;;;;;;;;;;;ITALIA;;P.NAZIONALE LAVORO;3588;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;DEMOCRAZIA CRISTIANA;5532;ITALIA;ROBERTO FIORE ;FORZA NUOVA;81578;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO CIANO ;PARTITO DEL SUD-ALLEANZA MERIDIONALE;3727;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PENSIONATI UNITI;61681;ITALIA;;FI-LG NORD (AOSTA);14817;ITALIA;;UNION FUR SUD TIROL;19330;;;;;ITALIA;;ALTRI GRUPPI;63461;ITALIA;;DC-PCI-PSI-PSDI-PLI;25426;ITALIA;;UN.PEN.PENS.IT.;10895;ITALIA;;MOV.AVE;455;;;;;;;;;;;;;;;;;ITALIA;;UNIFIC.SOCIALISTA;3110;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;PATTO PER L'AUTONOMIA;5015;ITALIA;GIACINTO MARCO PANNELLA ;LISTA AMNISTIA GIUSTIZIA LIBERTA';63074;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIUSEPPE QUARANTA ;SUD LIBERO;1795;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PRI;45098;ITALIA;;P.LIBERAL POPOLARE;10301;ITALIA;;MOV.AUT.TOSCANO;18691;;;;;ITALIA;;MOV.VEN.REG.AUT;50938;ITALIA;;P.VERDE I.VER.E.;22006;ITALIA;;UNIONE SLOVENA;8904;;;;;;;;;;;;;;;;;;;;;ITALIA;;QUADRIFOGLIO;2818;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;SIAMO;1402;ITALIA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;52060;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1597;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;AMBIENTA-LISTA;36458;ITALIA;;LISTA AMADU;9203;ITALIA;;PATTO PER L'AGRO;17980;;;;;ITALIA;;LEGA D'AZIONE MERIDIONALE;49769;ITALIA;;VERDI IT.-P.ECOL;19127;ITALIA;;FR.NAZ.SIC.;8243;;;;;;;;;;;;;;;;;;;;;ITALIA;;MOVIMENTO RURALE;2389;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;SMS - STATO MODERNO SOLIDALE;1384;ITALIA;MAGDI CRISTIANO ALLAM ;IO AMO L'ITALIA;40660;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);RENZO RABELLINO ;LISTA DEI GRILLI PARLANTI;49535;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NUOVA SICILIA;33485;ITALIA;;LISTA ALTERNATIVA;7704;ITALIA;;RINNOVAMENTO;16216;;;;;ITALIA;;LISTA PER IL MOLISE;48352;ITALIA;;MOV.FRIULI;17528;ITALIA;;LISTA DI LOTTA;6403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;RINASCIMENTO MIR;552;ITALIA;SIMONE DI STEFANO ;CASAPOUND ITALIA;40716;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;78139;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NO EURO;30527;ITALIA;;FORZA CHIAPPETTA;6932;ITALIA;;VALLE D'AOSTA-ULIVO;10371;;;;;ITALIA;;VERDI FEDERALISTI;47051;ITALIA;;MOV.LIB.FISCALE;13915;ITALIA;;LISTA TS-UDP;5678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;LODOVICO PIZZATI ;INDIPENDENZA VENETA;29690;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO GALLI ;FRONTE INDIPENDENTISTA LOMBARDIA;5234;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PATTO PER LA SICILIA;20825;ITALIA;;DIE FREIHEITLICHEN;5354;ITALIA;;DESTRA DI POPOLO;6710;;;;;ITALIA;;L.VALLE D'AOSTA;34150;ITALIA;;PARTIDU INDIP.;11818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
